Producto,Tienda,Semana,Precio,Pedido,Venta,Inventario,DemandaInsatisfecha,Activacion
1,1,10,30260.392,0.0,2466.0,5000.0,0.0,-0.0
1,1,11,30260.392,0.0,1437.0,3563.0,0.0,0.0
1,1,12,30260.392,2120.5,1781.5,1781.5,297.5,1.0
1,1,13,30260.392,3099.0,1951.0,1951.0,0.0,1.0
1,1,14,30260.392,2377.0,2525.0,2525.0,0.0,1.0
1,1,15,30260.392,0.0,2451.0,2451.0,0.0,-0.0
1,1,16,30260.392,0.0,1225.5,1225.5,2040.5,-0.0
1,1,17,30260.392,0.0,612.75,612.75,1.25,-0.0
1,1,18,30260.392,0.0,306.375,306.375,2472.625,-0.0
1,1,19,30260.392,0.0,153.1875,153.1875,2332.8125,-0.0
1,1,20,30231.6,0.0,76.59375,76.59375,2981.40625,0.0
1,2,10,30260.392,2910.0,3705.0,5000.0,0.0,1.0
1,2,11,30260.392,5341.0,3955.0,3955.0,0.0,1.0
1,2,12,30260.392,1070.0,4648.0,4648.0,0.0,1.0
1,2,13,30260.392,0.0,2859.0,2859.0,0.0,0.0
1,2,14,30260.392,2206.5,1429.5,1429.5,197.5,1.0
1,2,15,30260.392,3750.0,1818.0,1818.0,0.0,1.0
1,2,16,30260.392,0.0,2784.0,2784.0,0.0,0.0
1,2,17,30260.392,0.0,1392.0,1392.0,2467.0,-0.0
1,2,18,30260.392,0.0,696.0,696.0,1835.0,-0.0
1,2,19,30231.6,0.0,348.0,348.0,2880.0,-0.0
1,2,20,30231.6,0.0,174.0,174.0,5472.0,0.0
2,1,10,21852.392,9294.0,4311.0,5000.0,0.0,1.0
2,1,11,21852.392,2425.0,7147.0,7147.0,0.0,1.0
2,1,12,21852.392,8066.0,4786.0,4786.0,0.0,1.0
2,1,13,21852.392,0.0,6426.0,6426.0,2698.0,-0.0
2,1,14,21852.392,4817.0,3213.0,3213.0,0.0,1.0
2,1,15,21852.392,9367.0,4015.0,4015.0,0.0,1.0
2,1,16,21852.392,0.0,6691.0,6691.0,0.0,-0.0
2,1,17,21852.392,0.0,3345.5,3345.5,4475.5,-0.0
2,1,18,21831.6,0.0,1672.75,1672.75,8178.25,-0.0
2,1,19,21852.392,0.0,836.375,836.375,3609.625,-0.0
2,1,20,21831.6,0.0,418.1875,418.1875,6877.8125,0.0
2,2,10,21852.392,4126.0,5000.0,5000.0,1488.0,1.0
2,2,11,21852.392,10857.0,4563.0,4563.0,0.0,1.0
2,2,12,21852.392,3370.0,7710.0,7710.0,0.0,1.0
2,2,13,21852.392,11816.0,5540.0,5540.0,0.0,1.0
2,2,14,21852.392,7746.0,8678.0,8678.0,0.0,1.0
2,2,15,21852.392,0.0,8212.0,8212.0,0.0,0.0
2,2,16,21852.392,0.0,4106.0,4106.0,152.0,-0.0
