Producto,Tienda,Semana,Precio,Pedido,Venta,Inventario,DemandaInsatisfecha,Activacion
1,1,10,67205.64299999998,310.0,3663.0,5000.0,0.0,1.0
1,1,11,67205.643,2433.0,2655.0,2655.0,0.0,1.0
1,1,12,67205.643,1908.0,2544.0,2544.0,0.0,1.0
1,1,13,67205.643,0.0,2226.0,2226.0,0.0,0.0
1,2,10,67205.643,3042.0,1415.0,5000.0,0.0,1.0
1,2,11,67205.643,2981.0,4021.0,4021.0,0.0,1.0
1,2,12,67205.643,1767.0,3501.0,3501.0,0.0,1.0
1,2,13,67205.643,0.0,2634.0,2634.0,0.0,0.0
2,1,10,67205.643,4274.0,5000.0,5000.0,1168.0,1.0
2,1,11,67205.643,3919.0,4637.0,4637.0,0.0,1.0
2,1,12,67205.643,4586.0,4278.0,4278.0,0.0,1.0
2,1,13,67205.643,0.0,4432.0,4432.0,0.0,0.0
2,2,10,67205.643,10370.0,5000.0,5000.0,2543.0,1.0
2,2,11,67205.643,5261.0,7685.0,7685.0,0.0,1.0
2,2,12,67205.643,19011.0,6473.0,6473.0,0.0,1.0
2,2,13,67205.643,0.0,12742.0,12742.0,0.0,0.0
3,1,10,67205.643,0.0,1360.0,5000.0,0.0,-0.0
3,1,11,67205.643,5231.0,1943.0,3057.0,0.0,1.0
3,1,12,67205.643,4418.0,4144.0,4144.0,0.0,1.0
3,1,13,67205.643,0.0,4281.0,4281.0,0.0,0.0
3,2,10,67205.64299999998,3508.0,2198.0,5000.0,0.0,1.0
3,2,11,67205.643,4294.0,4254.0,4254.0,0.0,1.0
3,2,12,67205.64299999998,0.0,4274.0,4274.0,0.0,-0.0
3,2,13,67205.643,0.0,2132.0,2142.0,0.0,0.0
4,1,10,67205.643,0.0,1887.0,5000.0,0.0,-0.0
4,1,11,67205.643,0.0,1350.0,3650.0,0.0,-0.0
4,1,12,67205.643,0.0,1299.0,2351.0,0.0,-0.0
4,1,13,66998.0365178581,0.0,1175.5,1175.5,1175.5,0.0
4,2,10,67205.643,0.0,1550.0,5000.0,0.0,-0.0
4,2,11,67205.643,0.0,1975.0,3025.0,0.0,-0.0
4,2,12,67205.643,0.0,1024.0,2001.0,0.0,-0.0
4,2,13,67205.643,0.0,1000.5,1000.5,216.5,0.0
5,1,10,67205.643,8984.0,5000.0,5000.0,3697.0,1.0
5,1,11,67205.643,0.0,6992.0,6992.0,0.0,-0.0
5,1,12,67205.643,9106.0,3032.0,3960.0,0.0,1.0
5,1,13,67205.643,0.0,6533.0,6533.0,0.0,0.0
5,2,10,67205.643,2886.0,5000.0,5000.0,2964.0,1.0
5,2,11,67205.643,6749.0,3943.0,3943.0,0.0,1.0
5,2,12,67205.643,13092.0,5346.0,5346.0,0.0,1.0
5,2,13,67205.643,0.0,9219.0,9219.0,0.0,0.0
6,1,10,67205.643,0.14219201228934253,3729.0,5000.0,0.0,8.934633533134091e-07
